19 20 1 31220 3493 0 15
9 29 9.178825
1 5 7.759652
4 16 3.422943
29 49 11.847491
43 37 1.696016
14 32 12.023111
11 15 14.934762
35 23 18.857743
18 13 8.667655
14 20 8.263979
41 21 16.425538
36 19 11.651048
49 25 1.526441
20 11 11.725847
36 25 19.643688
44 20 4.667066
49 12 18.298745
26 5 13.777604
29 39 6.269938
0 11 28.197095 34.015198
1 9 21.318816 33.021673
1 3 32.000272 88.130103
2 15 6.011550 61.639404
2 8 29.791221 20.569566
2 5 48.841281 21.386224
3 5 26.072509 23.913192
4 14 32.357011 15.948148
6 13 37.456416 15.819737
6 8 27.456906 10.147587
7 16 40.353863 21.054011
7 11 38.253174 5.650366
10 18 47.835369 40.744156
10 17 5.837629 38.320138
10 15 21.806405 5.918660
10 12 2.652064 12.792540
11 14 4.692865 6.000420
12 15 34.494380 10.461062
12 14 0.637756 22.540216
13 16 8.525176 52.524639
