17 22 1 43032 322 0 15
31 19 10.172708
24 47 16.716165
8 34 16.493991
22 32 18.514758
7 13 4.989234
16 49 6.607168
30 2 13.096421
34 18 6.496676
33 45 17.137535
41 0 18.224300
11 30 7.105033
19 29 10.984327
33 27 18.433161
29 22 13.213440
34 37 15.437224
38 11 6.037221
6 23 3.591358
0 13 46.265907 6.610648
0 7 47.434170 5.521501
0 3 17.186056 24.570271
1 8 31.999018 13.019483
1 3 20.222784 27.077641
2 13 0.028033 35.000363
2 4 25.130805 27.583742
3 14 7.391651 19.619549
4 15 21.746699 41.232329
4 11 32.883701 27.945894
4 10 36.106425 19.031753
5 16 0.048502 42.190503
5 15 3.188357 47.306682
6 10 36.902609 65.057598
7 13 11.224457 11.753756
7 11 33.454614 35.669796
9 12 33.183600 32.378867
10 16 35.188385 13.916633
10 11 1.496843 8.121863
11 16 39.836699 19.239544
12 15 39.541750 24.044800
12 14 37.320866 18.062588
