16 20 1 18920 369 0 15
3 9 16.671020
40 23 16.445496
6 47 5.449834
15 15 17.512278
28 26 18.150496
19 26 12.668326
15 38 18.697681
31 15 12.875212
14 48 6.472972
38 11 0.480557
23 13 13.858937
5 15 12.753276
30 39 8.638307
15 33 3.443395
1 33 0.309661
4 4 14.788115
0 3 39.650717 14.194543
1 15 15.475691 74.011317
2 8 18.800483 9.684550
2 5 44.153009 31.323002
3 7 35.793903 16.109757
3 6 16.638709 31.168389
4 10 10.405323 16.702598
4 7 1.636383 20.260149
4 6 2.471213 18.229305
5 13 46.895303 15.385541
6 14 42.161279 25.017223
6 13 0.324457 7.908333
7 13 13.730676 44.969418
8 11 14.958438 56.238683
9 12 32.981800 42.130965
11 15 25.239104 11.471430
11 14 42.837725 26.785549
11 13 32.693548 37.358639
12 15 4.126359 53.749083
12 13 11.981198 24.829883
