18 25 0 31473 1456 0 15
41 8 9.073876
27 17 13.148739
13 27 13.042656
42 11 10.789286
48 2 14.101175
7 5 10.999502
22 5 5.832876
39 14 6.140209
33 41 9.578818
45 39 11.995421
11 40 1.403682
40 26 5.311966
43 2 9.859481
31 24 19.992023
39 48 0.633023
27 1 10.148961
23 33 12.933135
12 39 9.795974
0 15 14.070617 26.001960
0 12 44.410679 9.491570
0 4 22.304736 9.941065
0 3 3.639043 3.637445
1 13 42.330318 10.552816
1 5 25.452825 42.132530
1 4 13.005556 32.431992
2 17 45.442349 14.046441
2 10 43.577612 23.669719
2 8 4.560961 35.614386
2 4 46.888150 50.691899
3 7 12.437340 7.174264
4 12 9.198215 6.016806
4 8 11.750621 52.162424
6 15 44.750235 10.830323
6 13 17.630830 36.262077
7 16 11.278003 29.221593
8 16 12.733848 15.890380
8 13 19.554557 28.614121
8 11 49.028523 21.973337
9 14 6.693757 13.387745
9 11 24.720584 20.748103
10 17 32.806022 1.971394
10 16 9.678084 19.494692
11 13 43.104037 14.084446
