14 15 0 35019 683 0 15
8 35 6.825107
27 6 19.492402
3 29 5.720446
34 23 16.851675
13 10 12.577537
19 38 12.136798
20 30 14.682047
17 32 10.303725
46 45 5.134514
28 24 3.192614
6 32 14.174293
31 8 19.110637
36 23 13.835605
17 29 17.985617
0 2 24.514213 8.295430
1 11 48.147233 7.685791
2 10 38.192433 4.496289
2 5 20.691941 31.152825
2 4 3.170906 24.238865
3 11 43.808395 17.632340
3 9 25.720144 8.056822
4 11 44.269244 27.768703
5 7 43.726275 8.949893
6 11 35.056231 45.750073
6 10 24.444090 24.283592
6 9 22.560580 13.079645
7 8 28.234510 31.909783
11 13 35.639137 40.655821
12 13 15.131126 30.290209
