17 20 0 46287 1651 0 12
2 3 7.681801
18 10 2.200040
0 23 7.366864
23 5 9.076141
8 11 4.161148
21 19 9.469369
13 15 4.387134
13 9 8.448390
11 6 6.154852
4 2 1.272636
12 17 2.504774
9 9 1.569590
2 2 9.294861
10 12 6.996505
21 12 2.890408
18 20 7.587723
9 22 1.068710
0 12 28.487190 1.233279
0 8 2.661298 17.022968
1 14 8.002629 6.646202
1 4 15.020730 15.162712
2 7 31.924715 23.575718
3 5 29.545889 22.069864
4 13 4.485248 4.366014
4 9 6.901800 14.840528
4 8 16.577655 10.780366
5 14 31.830181 11.120619
6 14 17.339951 15.833361
6 13 39.216735 5.987383
6 11 22.727950 12.143325
7 8 15.345067 6.886258
8 16 26.747069 29.947087
8 11 3.620725 5.374066
8 10 11.395041 15.252058
10 16 8.967250 6.746706
10 15 26.631874 9.961292
15 16 28.758050 14.748501
