13 14 1 44861 1770 0 10
36 30 3.983489
28 4 3.971659
28 24 14.553046
31 18 0.835773
4 43 18.110454
8 10 14.441493
15 3 4.357297
32 22 1.963110
1 22 2.020534
33 36 2.968471
46 11 18.048896
27 32 14.886907
28 16 4.325316
0 12 26.827628 24.253192
0 9 13.142393 7.615214
1 8 39.154882 41.628299
1 5 49.999032 40.784142
2 12 2.381956 9.043536
3 12 26.778809 4.330297
3 9 19.048824 27.449135
3 7 31.893044 5.735078
3 4 36.615032 55.661396
4 8 35.562747 38.969404
5 7 43.941199 39.174649
6 7 9.101381 41.219904
8 11 35.746657 30.550215
10 12 12.255618 23.969433
