19 20 0 22076 765 0 10
9 29 3.198070
1 5 0.395346
4 16 3.585681
29 49 6.757038
43 37 9.373571
14 32 11.771301
11 15 14.344775
35 23 16.523335
18 13 7.592324
14 20 5.850851
41 21 11.261223
36 19 11.491753
49 25 18.812317
20 11 4.871775
36 25 2.837692
44 20 19.945924
49 12 2.575264
26 5 11.955344
29 39 11.529210
0 11 33.551359 36.998941
1 9 29.032842 25.206873
1 3 42.894501 64.394198
2 15 3.115479 59.933799
2 8 18.525235 26.794804
2 5 22.787523 29.535828
3 5 29.258153 34.696754
4 14 43.413006 22.714625
6 13 11.179978 10.379136
6 8 44.000419 11.542606
7 16 43.902073 28.544445
7 11 8.890171 5.949928
10 18 34.332913 39.343572
10 17 40.797674 28.943018
10 15 45.872761 5.740867
10 12 5.022390 12.454129
11 14 33.115895 9.530894
12 15 41.159239 11.887205
12 14 8.600681 19.762703
13 16 19.581910 54.711836
