10 16 0 31346 1039 0 10
13 31 16.280010
30 28 0.316198
22 23 10.163421
35 16 13.778579
0 19 18.873603
8 0 5.539914
23 35 1.338618
21 8 10.782498
29 14 9.836025
29 32 14.424445
0 9 21.898066 31.084496
0 2 4.307355 22.990937
1 9 18.734351 5.714875
1 8 14.181504 23.869437
1 6 37.452396 15.319480
2 8 37.930004 13.619203
2 7 27.770431 17.010832
2 6 19.115151 14.143348
3 8 41.289539 7.008594
3 6 22.853251 26.064804
4 9 48.693451 44.942074
5 8 46.115554 37.173682
5 7 20.827753 25.381509
6 9 36.486444 8.045195
7 9 34.555403 49.475225
7 8 44.733880 14.509511
