15 22 0 32043 389 0 8
28 16 2.829243
45 16 1.718273
3 17 1.751770
34 38 5.895837
39 10 8.116879
28 40 4.676626
23 18 4.013722
5 7 9.848258
36 6 5.001864
34 24 4.876357
44 19 6.129186
47 8 8.896412
37 42 7.919615
4 25 3.241577
37 44 8.024799
0 9 2.486610 11.068507
0 6 0.019812 6.311970
1 10 1.247819 4.572058
1 8 5.427544 16.199395
1 2 1.178930 49.593637
2 7 3.395620 18.179367
3 14 11.747480 7.686391
3 11 17.559834 32.702757
3 5 3.440945 11.828805
4 10 9.197640 10.843036
4 9 10.416626 29.490343
4 8 19.371220 9.306271
4 7 6.977798 34.849476
4 6 18.213178 28.290367
5 14 18.112745 11.236083
6 13 4.954041 34.688416
6 11 17.704845 26.779161
6 8 9.515587 22.091629
8 14 9.055685 74.035683
9 11 2.561990 36.018555
10 14 10.595803 39.246812
12 14 13.151004 2.595761
