12 14 1 7343 348 0 8
18 0 8.028327
42 24 5.326163
32 7 6.130912
34 32 2.255140
2 23 5.967111
41 11 9.353856
11 4 4.423772
12 12 5.993595
38 34 6.647960
41 17 3.217275
39 18 1.865111
42 42 0.493718
0 8 3.940077 49.529610
1 10 3.414046 12.650931
1 3 1.402826 22.529446
1 2 16.429099 22.900045
2 5 16.295945 16.319095
3 11 3.108633 14.682958
3 10 2.033146 28.545877
4 7 11.242747 19.667493
5 9 3.986552 9.598714
6 11 8.052365 80.530995
6 10 5.104273 54.218421
7 9 6.573100 47.912479
8 11 1.410190 10.649044
9 10 17.107907 4.311172
