12 13 1 38518 1867 0 13
20 23 8.199654
1 19 11.774277
21 4 15.848703
3 22 19.832344
16 22 22.515409
0 19 8.417436
2 18 18.267820
22 8 12.476157
15 22 23.143676
9 12 8.033190
17 12 1.605241
22 19 18.061108
0 8 16.730201 9.350812
0 4 46.650200 7.122392
1 7 3.709003 25.110104
1 5 21.569158 1.108910
2 7 28.364711 6.641044
3 8 44.930338 14.084913
4 10 41.619289 16.327917
4 8 5.022806 1.847189
4 5 48.143471 29.955447
5 6 8.406731 2.742460
7 10 43.020680 9.181059
9 10 16.722844 15.691427
10 11 34.607058 10.297939
